time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.845306080825782e-07,4.977239259825706e-08,10.004519733375412,5.566182872751568e-05,0.00039298352125261005,0.0,-4.036531941723763e-05,4.774480829996026e-06,0.1506490775674413,0.0027215238074875824,0.017187819127972234,0.0,452.13847054527344,453.5207720335987,452.4307174083775,452.6497235282826
0.12000000000000001,-1.816536369546271e-05,3.1985479772088773e-06,10.022046663640282,0.0006364433658259117,0.0014152158195477327,0.0,-0.000681509295260094,0.00015174190246904483,0.4335172688590395,0.0208558392585049,0.01673427853066022,0.0,492.251832521486,492.21816471554354,490.21021314968635,491.55556199454384
0.18,-9.408061911444357e-05,3.1758700372351365e-05,10.052281848388828,0.0022682248662100335,0.002404895890004255,0.0,-0.0019566101048014853,0.0009584683915535154,0.5742611009986108,0.037552623800923786,0.016011114633763365,0.0,449.0111221630272,448.9523698535839,450.06428701637833,451.4135969311494
0.23999999999999996,-0.00026338774063571293,0.0001434410492702619,10.089210627060051,0.004649068210213159,0.0031986228412739237,0.0,-0.0037747154917222585,0.002994771839728617,0.6566530330751281,0.04362824632385354,0.006985411138618624,0.0,432.0457479142682,431.2841051734993,431.3504674457334,431.8640089648885
0.3,-0.0005644584474228993,0.0004402285429432839,10.13373209250477,0.006806721284946526,0.0035553849812828275,0.0,-0.006304347840642853,0.007175128547625248,0.8272858231029632,0.012615351466986441,0.0037816617579005092,0.0,460.2974977472198,460.0438272897181,459.5301073117298,457.06594664263696
0.36000000000000004,-0.0010129176142586003,0.0010065316592848767,10.185247718985217,0.00765560674695287,0.003537386195766601,0.0,-0.008655742335527667,0.011778919139695322,0.8898541259557526,0.017049608432491564,-0.010060634612119625,0.0,425.5582978550504,424.37194409729267,425.9964025655088,426.37525576284344
0.4200000000000001,-0.0016184981732664907,0.0019101842690706788,10.246094735831276,0.00840784442455167,0.003106001305551054,0.0,-0.011466069400652031,0.018453674797182164,1.138165229975656,0.0014970674985049998,-0.0019905236629489966,0.0,482.15324884252414,482.76259578839097,483.11579096260147,481.9417430098625
0.48000000000000015,-0.002367079349766701,0.003183151426392089,10.316403614472529,0.008466609466112551,0.0028618698013875843,0.0,-0.013469123862007515,0.02398520189316531,1.2053952255898157,-7.660513118807298e-05,-0.008588540951337823,0.0,428.0840458846324,427.5223705364723,427.6634969040668,427.52942955475163
0.5400000000000001,-0.0032331698593902496,0.004798187637717536,10.391838653708986,0.008018639908937253,0.0027567024246284433,0.0,-0.015371162419467677,0.029832508594753317,1.308993067231264,-0.029421234828497792,0.009263601190967908,0.0,438.80784719869445,440.28719300021584,440.68108993940837,438.2490555934171
0.6000000000000002,-0.004211303415626269,0.006736821397514408,10.472030135971817,0.006440223092367248,0.0038562655892153685,0.0,-0.017316162623372204,0.03462927276242135,1.3639930087755114,-0.020711402783349535,0.03210303226114414,0.0,424.1247488519129,426.0816288682895,422.75600527829545,423.50555409303365
0.6600000000000003,-0.005340838391303759,0.008948183695119119,10.557709421558828,0.0053319961336999455,0.0054053583521671555,0.0,-0.02052358425471365,0.03895738240006172,1.4918247990253455,-0.014328377275550221,0.008677572090996805,0.0,448.22054987912696,446.31301260414637,447.450691101304,447.9700339825755
0.7200000000000003,-0.006703192953774602,0.011408646913176014,10.653370762112068,0.004255687806163699,0.005837937200206866,0.0,-0.024942909681634633,0.04294423015626317,1.6966057124466314,-0.026365574169029283,0.004099004164818355,0.0,471.64461743418207,471.29078568323894,471.2403345513575,470.3090961424542
0.7800000000000004,-0.00832957973884907,0.014072658975866542,10.759584501807588,0.0023625771605733092,0.005955031521541088,0.0,-0.029288879214683664,0.04566896735091215,1.8436273998447437,-0.04473349484333885,-0.0027325626252294836,0.0,453.59243437496866,453.04348391606203,456.13615510073726,454.66665226471594
0.8400000000000004,-0.010206971175941494,0.016850726155372937,10.87279172642733,6.28309170579146,0.005886335255529396,0.0,-0.033278573661187805,0.04667694614286506,1.9298057148124224,-0.03425828581944974,0.0018551638714708121,0.0,435.91761353233255,436.300811979198,435.1176241878959,435.9926942394517
0.9000000000000005,-0.01235420663863174,0.019639289117315765,10.996385656211993,6.2811325512835445,0.006079689810256639,0.0,-0.038312550203495215,0.04602337961327994,2.1895318129266452,-0.02962095554290317,0.005826179337234446,0.0,487.64763438171167,487.94409190639175,488.8152005460843,489.1603281204512
0.9600000000000005,-0.014787921139032188,0.02234833749923972,11.132074666952825,6.278920262970491,0.006266973534232889,0.0,-0.042839369902035095,0.04406990390054878,2.3331527242455548,-0.05815040908101899,-0.0029270650736370066,0.0,455.3586087457358,454.65782536071754,456.3101163262716,454.02623870386253
1.0200000000000005,-0.01748972743894535,0.024890079488443424,11.27526750256484,6.275559652731689,0.007004416416509507,0.0,-0.04725907171914379,0.040303514891447775,2.4397186181664363,-0.05204226632142308,0.032353736028938804,0.0,443.1213045762257,446.01201142853364,443.61553696245716,444.11465153971017
1.0800000000000005,-0.020472337616011204,0.027144559357061126,11.42393291329964,6.272435537310063,0.009142645129431415,0.0,-0.052361496364995014,0.034539699767118445,2.5156269639599764,-0.052121270940876124,0.041504752936347616,0.0,434.98872767443515,435.75494093414204,434.6094832794069,434.6010397260097
1.1400000000000006,-0.02385050055365562,0.02893945421187153,11.58169004481424,6.269268080800005,0.012443826486987497,0.0,-0.06059883151723351,0.02491605760212368,2.742420557213825,-0.05416456880511061,0.0735071316803685,0.0,480.07601333996007,482.499683898243,481.2602375012255,481.1039703296877
